establecimiento_nombre,localidad_nombre,provincia_nombre,departamento_nombre
RESIDENCIA GERIATRICA PRIVADA BELEN,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA CURIE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA EL HOGAR DE LUISA,CORDOBA,CÓRDOBA,CAPITAL
SERVICIO DE CONSULTA MEDICA DOMICILIARIA (CMD),CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SAN EXPEDITO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA MARIA RITA,CORDOBA,CÓRDOBA,CAPITAL
PORTAL DEL CERRO RESIDENCIA GERIATRICA PRIVADA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ALTA CORDOBA II,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA GRAN SINAI,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA PARA ADULTOS MAYORES CRISTO LUZ I,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA REINAMORA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA LA RESIDENCIA GERIATRICO MODELO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA VIRGEN DEL ROSARIO,CORDOBA,CÓRDOBA,CAPITAL
HOGAR DE ANCIANOS BIBIANA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA ELHOIM,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA PRIVADA PARA PERSONAS MAYORES LOURDES DEL VALLE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA MI NUEVO HOGAR,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GAUSS GERIATRICO PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SANTA CRUZ,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA NUESTRO HOGAR I,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO HOGAR PLAZA PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SOL DE OTOÑO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SOL DE OTOÑO II,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA SOL DE OTOÑO III,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA LAS ADELINAS,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ABRIL,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA CASABELLA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA DULCE ESTADIA,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO PRIVADO EL HOGAR DE BENJA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA EL JARDIN DEL EDEN,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA BELLA VIDA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA NUESTRA SEÑORA DE ITATI,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA NEW HOUSE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA LATINA,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO PRIVADO HUSAMA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA MI FAMILIA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ALTO ALAMEDA - PASAJE ALAMEDA 2346,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA LA CASA GRANDE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ALTOS SANTA MARIA S.R.L,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SAN VICENTE,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICA PRIVADA ERNESTINA S.A.,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA DEL VALLE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA CASABLANCA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ESTACION DE LOS SUEÑOS,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SAGRADO CORAZON DE JESUS,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA NUEVA VIDA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SANTA TERESA DE LOS ANDES,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA PARA LA TERCERA EDAD LA VIDA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA LA MORADA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA NUESTRO HOGAR,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA DULCE HOGAR,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ALEM,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA HOGAR SAN CAMILO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SOLARES S.R.L,CORDOBA,CÓRDOBA,CAPITAL
HOGAR PRIVADO SANTA MONICA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA PAULA MONTAL,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA NATHANIEL,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA NUESTRA SEÑORA DE LOURDES,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA FUNDACION CALIDEZ PARA UNA VIDA MEJOR,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA VIVIR,CORDOBA,CÓRDOBA,CAPITAL
HOGAR DE ANCIANOS PRIVADO EL CONVALECIENTE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA DEL PARQUE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA DEL CERRO GERIATRICO PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA RAICES,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA CONVIVENCIA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SOLARES DEL PARAISO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SAN ANTONIO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA  PRIVADA VIDA SANA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA CRISTIANA PLENA LUZ,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SAN CLEMENTE,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA MI-LAR II,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO MI-LAR,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA CRISTO REY,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA EL HOGAR DEL ABUELO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA EL VERGEL,CORDOBA,CÓRDOBA,CAPITAL
HOGAR DE RESIDENCIA MARIA AUXILIADORA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA LA CASA DE LOS ABUELOS,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO PRIVADO ESTRELLA DE MARIA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA TERCERA EDAD,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA DE LA GUARNICION AEREA CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA NUEVO CHATEAU - ANEXO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SAN JORGE DE ARAGON,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA PRIVADA ESQUIU,CORDOBA,CÓRDOBA,CAPITAL
HOGAR DE ANCIANAS NAZARET CONCEPCIONISTA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA  MARIA ADELA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA NUÑEZ GERIATRICA PRIVADA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA PRIVADA PARA MAYORES SANTA RITA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ARBOL DE LA VIDA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA SANTA ANA,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO PRIVADO SOLAR SANTA ANA,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA MEXICO I,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO PRIVADO MEXICO II,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ABU,CORDOBA,CÓRDOBA,CAPITAL
GERIATRICO PRIVADO SAN GABRIEL,CORDOBA,CÓRDOBA,CAPITAL
CENTRO PRIVADO DE REHABILITACION INTEGRAL SAN BENITO,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA PRIVADA ELOHIM,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE REHABILITACION CONSULTORIOS INTEGRA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO OFTAL S.R.L,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE MICROCIRUGIA OCULAR,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DR. PEDRAZZOLI,CORDOBA,CÓRDOBA,CAPITAL
CENTRO INTEGRAL DE SALUD PAN-AKOS,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO PRIVADO DE CIRUGIA AMBULATORIA HUMANA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO ASOCIART,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO NEUROS (GEA 1 PRIVADO),CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE DIA PARA ADOLECENTES Y JOVENES 5 SENTIDOS,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA SAN NICOLAS S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE CIRUGIA ESPECIALIZADA,CORDOBA,CÓRDOBA,CAPITAL
CECIEP - CENTRO DE CIRUGIA ESTETICA PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE CIRUGIA PLASTICA FRONTERA VACA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO PRIVADO DE CIRUGIA AMBULATORIA DEL CERRO,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO DEL SALVADOR PRIVADO S.A.,CORDOBA,CÓRDOBA,CAPITAL
CASA DE LA BONDAD,CORDOBA,CÓRDOBA,CAPITAL
LABORATORIO LIDMO,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA OFTALMOLOGIA SANTA LUCIA S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO CLINICA DE OJOS CORDOBA PRIVADA S.R.L,CORDOBA,CÓRDOBA,CAPITAL
CLINICA DE OJOS MALDONADO BAS PRIVADO S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
CLINICA CENTRAL DE OJOS PRIVADA S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
INOFAC.INSTITUTO OTORRINOLARINGOLOGICO Y FONOAUDIOLOGICO CORDOBA PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO PRIVADO DEL NOROESTE - CENTRO DE REHABILITACION CON INTERNACION,CORDOBA,CÓRDOBA,CAPITAL
COMPLEJO PRIVADO ARGENTINO CUBANO DE REHABILITACION VIDA SANA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO PRIVADO DE CIRUGIA PLASTICA DR. RAUL A. NAHAS,CORDOBA,CÓRDOBA,CAPITAL
CLINICA NEUROPATICA PRIVADA MEELAR S.R.L,CORDOBA,CÓRDOBA,CAPITAL
CLINICA UNIVERSITARIA REINA FABIOLA,CORDOBA,CÓRDOBA,CAPITAL
CLINICA ROMAGOSA S.A.,CORDOBA,CÓRDOBA,CAPITAL
RESIDENCIA GERIATRICA RETOÑOS DEL VALLE,CORDOBA,CÓRDOBA,CAPITAL
CLINICA CASTILLO MORALES,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA VELEZ SARSFIELFD,CORDOBA,CÓRDOBA,CAPITAL
SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIANO,CORDOBA,CÓRDOBA,CAPITAL
HOSPITAL PRIVADO UNIVERSITARIO DE CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
INSTITUTO MODELO DE CARDIOLOGIA PRIVADO SRL,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO GEA 2 PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO ALLENDE,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO FRANCES,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO MAYO PRIVADO S.A,CORDOBA,CÓRDOBA,CAPITAL
ACONCAGUA SANATORIO PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO PRIVADO LEON S. MORRA,CORDOBA,CÓRDOBA,CAPITAL
CLINICA SUCRE S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA CARAFFA S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
CLINICA CHUTRO S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
INSTITUTO PRIVADO DE RADIOTERAPIA SA,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA DEL PRADO S.R.L,CORDOBA,CÓRDOBA,CAPITAL
CLINICA DE LA FAMILIA I,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO PRIVADO DUARTE QUIROS,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA SAINT MICHEL,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE FLEBOLOGIA NEVER ROSLI,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE MEDICINA Y CIRUGIA ESTETICA AMBULATORIA GEMA S.A.,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE DIA DON ORIONE,CORDOBA,CÓRDOBA,CAPITAL
DIAGNOSTICO DEL CERRO,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE DIAGNOSTICO POR IMAGENES GALVEZ,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO PRIVADO PARQUE S.A,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO SANTO TOMAS PRIVADO,CORDOBA,CÓRDOBA,CAPITAL
SANATORIO SINDICAL SUOEM,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE CIRUGIA PLASTICA DR. SANTIAGO,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE DIA ANTARES,CORDOBA,CÓRDOBA,CAPITAL
CENTRO EDUCATIVO TERAPUETICO TALITA KUM,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE ESTUDIOS MAMARIOS,CORDOBA,CÓRDOBA,CAPITAL
CECYO - CENTRO PRIVADO DE ENFERMEDADES CIRCULATORIAS Y OZONOTERAPIA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE INTERVENCION TEMPRANA MULTIPLES EXPRESIONES,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO PRIVADO DE REHABILITACION,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO PRIVADO PARQUE SALUD S.A.,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA GALLIA,CORDOBA,CÓRDOBA,CAPITAL
CLINICA PRIVADA SANAGEC,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO LUQUEZ,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE RESONANCIA MAGNETICA,CORDOBA,CÓRDOBA,CAPITAL
VACUNATORIO ESCUELA DE AVIACION MILITAR,CORDOBA,CÓRDOBA,CAPITAL
VACUNATORIO GABINETE PSICOFISIOLOGICO CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
JEFATURA DE REGION III CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
POLICLINICO POLICIAL SAN RAFAEL,CORDOBA,CÓRDOBA,CAPITAL
HOSPITAL MILITAR REGIONAL CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
HOSPITAL AERONAUTICO CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
VACUNATORIO ESCUELA DE SUBOFICIALES,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE DIAGNOSTICO Y TRATAMIENTO SEDE UNIVERSITARIA DASPU CON VACUNATORIO,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE INVESTIGACION - EXTENSION Y CAPACITACION ESCUELA KINESIOLOGIA Y FISIOTERAPIA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO ODONTOLOGICO FACULTAD DE ODONTOLOGIA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO FACULTAD DE ODONTOLOGIA DE U.N.C,CORDOBA,CÓRDOBA,CAPITAL
LABORATORIO CENTRAL DE LA UNIVERSIDAD CATOLICA DE CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO MEDICO OSPEDYC SEC. CORDOBA,CORDOBA,CÓRDOBA,CAPITAL
CENTRO DE SALUD DEL CENTRO DE JUBILADOS Y PENSIONADOS LA CASITA DE MIS VIEJOS,CORDOBA,CÓRDOBA,CAPITAL
CENTRO PRIVADO CRONOS DE CIRUGIA PLASTICA S.R.L.,CORDOBA,CÓRDOBA,CAPITAL
DISPENSARIO MUNICIPAL AGUA DE ORO,AGUA DE ORO,CÓRDOBA,COLÓN
DISPENSARIO MALABRIGO,COLONIA CAROYA,CÓRDOBA,COLÓN
DISPENSARIO LOTE 11,COLONIA CAROYA,CÓRDOBA,COLÓN
DISPENSARIO LOTE XV,COLONIA CAROYA,CÓRDOBA,COLÓN
DISPENSARIO PUESTO VIEJO,COLONIA CAROYA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA ARMONIA,COLONIA CAROYA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA NUESTRO LUGAR II,COLONIA CAROYA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA EL PARAISO,COLONIA CAROYA,CÓRDOBA,COLÓN
GERIATRICO PRIVADO NUESTRO LUGAR,COLONIA CAROYA,CÓRDOBA,COLÓN
SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENO CRONICO DEL SERVICIO RENAL CAROYA PRIVADO,COLONIA CAROYA,CÓRDOBA,COLÓN
UNIDAD DE TRASLADO DE PERSONAS CON CAPACIDADES DIFERENTES,COLONIA CAROYA,CÓRDOBA,COLÓN
CENTRO CAROYA RENAL PRIVADO,COLONIA CAROYA,CÓRDOBA,COLÓN
GERIATRICO LAS ROSAS,COLONIA CAROYA,CÓRDOBA,COLÓN
HOGAR DE ANCIANOS JUAN XXIII PRIVADO,COLONIA CAROYA,CÓRDOBA,COLÓN
SANATORIO PRIVADO CAROYA S.R.L,COLONIA CAROYA,CÓRDOBA,COLÓN
DISPENSARIO MUNICIPAL ESTACION COLONIA TIROLESA,COLONIA TIROLESA,CÓRDOBA,COLÓN
CENTRO DE SALUD MUNICIPAL COLONIA TIROLESA - DR. ARTURO ILLIA,COLONIA TIROLESA,CÓRDOBA,COLÓN
CENTRO DE SALUD MUNICIPAL Nº 4,COLONIA TIROLESA,CÓRDOBA,COLÓN
DISPENSARIO MUNICIPAL LA PUERTA - DR. RAUL ALFONSIN,COLONIA TIROLESA,CÓRDOBA,COLÓN
CAPS DR. JOSE BREGANTE,EL MANZANO,CÓRDOBA,COLÓN
CENTRO DE DIA CANDONGA ESPACIO ABIERTO,EL MANZANO,CÓRDOBA,COLÓN
DISPENSARIO COMUNAL ESTACION GENERAL PAZ,GENERAL PAZ,CÓRDOBA,COLÓN
HOSPITAL REGIONAL VICENTE AGUERO,JESUS MARIA,CÓRDOBA,COLÓN
DISPENSARIO LATINOAMERICA,JESUS MARIA,CÓRDOBA,COLÓN
DISPENSARIO GUEMES,JESUS MARIA,CÓRDOBA,COLÓN
DISPENSARIO SIERRAS Y PARQUE,JESUS MARIA,CÓRDOBA,COLÓN
DISPENSARIO LA COSTANERA,JESUS MARIA,CÓRDOBA,COLÓN
DISPENSARIO FLORIDA NORTE,JESUS MARIA,CÓRDOBA,COLÓN
COMPLEJO PARA EL ADULTO MAYOR,JESUS MARIA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA NUEVO SOL,JESUS MARIA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA MI HOGAR,JESUS MARIA,CÓRDOBA,COLÓN
AMI ASISTENCIA MEDICA INTEGRAL PRIVADA S.A.,JESUS MARIA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA LAS ROSAS II,JESUS MARIA,CÓRDOBA,COLÓN
NEUROINTEGRAL CENTRO PRIVADO DE REHABILITACION NEUROLOGICA,JESUS MARIA,CÓRDOBA,COLÓN
SERVICIOS DE URGENCIAS MEDICAS S.RL. - SUM,JESUS MARIA,CÓRDOBA,COLÓN
CENTRO ASISTENCIAL PRIVADO AYUDA MUTUA DEL PERSONAL DE GENDARMERIA NACIONAL JESUS MARIA,JESUS MARIA,CÓRDOBA,COLÓN
SERVICIO DE EMERGENCIAS DE ASISTENCIA MEDICA INTEGRAL PRIVADA SA,JESUS MARIA,CÓRDOBA,COLÓN
VIDA - CENTRO DE SALUD E INTEGRACION ESCOLAR,JESUS MARIA,CÓRDOBA,COLÓN
CENTRO DE DIAGNOSTICO POR IMAGENES CEDIAN S.A,JESUS MARIA,CÓRDOBA,COLÓN
CENTRO PRIVADO DE OJOS DR. BULACIO,JESUS MARIA,CÓRDOBA,COLÓN
SUA S.R.L UNIDAD RENAL JESUS MARIA,JESUS MARIA,CÓRDOBA,COLÓN
GERIATRICO LA PLAZA,JESUS MARIA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA SAN CAMILO,JESUS MARIA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA NUEVO MILENIO,JESUS MARIA,CÓRDOBA,COLÓN
CLINICA PRIVADA SAN ISIDRO S.R.L,JESUS MARIA,CÓRDOBA,COLÓN
CLINICA PRIVADA MATERNIDAD,JESUS MARIA,CÓRDOBA,COLÓN
CLINICA PRIVADA JESUS MARIA DR. ANIBAL VIALE,JESUS MARIA,CÓRDOBA,COLÓN
DISPENSARIO BARRIO INDUSTRIAL,LA CALERA,CÓRDOBA,COLÓN
DISPENSARIO DUMESNIL,LA CALERA,CÓRDOBA,COLÓN
CENTRO DE ATENCION PRIMARIA DE LA SALUD LAS FLORES,LA CALERA,CÓRDOBA,COLÓN
CENTRO DE ATENCION PRIMARIA DE LA SALUD LUISA EMILIA CAROL,LA CALERA,CÓRDOBA,COLÓN
HOSPITAL ILLIA,LA CALERA,CÓRDOBA,COLÓN
CENTRO MEDICO EMERCO,LA CALERA,CÓRDOBA,COLÓN
CENTRO MEDICO DE LA FAMILIA,LA CALERA,CÓRDOBA,COLÓN
CENTRO DE APOYO A LA INTEGRACION ESCOLAR TRAPEM,LA CALERA,CÓRDOBA,COLÓN
SANATORIO DIQUESITO S.A.,LA CALERA,CÓRDOBA,COLÓN
INSTITUTO DE ESPECIALIDADES MEDICAS S.R.L,LA CALERA,CÓRDOBA,COLÓN
CENTRO DE SERVICIOS TERAPEUTICOS AYSAND,LA CALERA,CÓRDOBA,COLÓN
CENTRO PRIVADO DE REHABILITACION Y EDUCACION MANOS UNIDAS CON INTEGRACION ESCOLAR,LA CALERA,CÓRDOBA,COLÓN
COMPAÑIA DE SANIDAD / BAL CORDOBA,LA CALERA,CÓRDOBA,COLÓN
SANATORIO DIQUECITO SA,EL DIQUECITO,CÓRDOBA,COLÓN
CENTRO DE SALUD EVITA DE MALVINAS ARGENTINAS,MALVINAS ARGENTINAS,CÓRDOBA,COLÓN
CENTRO DE ATENCION PRIMARIA DE LA SALUD 3° SECCION,MALVINAS ARGENTINAS,CÓRDOBA,COLÓN
CENTRO DE ATENCION PRIMARIA DE LA SALUD DEL CIC,MALVINAS ARGENTINAS,CÓRDOBA,COLÓN
HOGAR EL SOL - CENTRO DE DIA SOLARTE,MALVINAS ARGENTINAS,CÓRDOBA,COLÓN
CENTRO DE SALUD MUNICIPAL DE MENDIOLAZA,MENDIOLAZA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA VITALIA,MENDIOLAZA,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADO EL MILAGRO,MENDIOLAZA,CÓRDOBA,COLÓN
CENTRO DE SALUD RAMON CARRILLO MI GRANJA,MI GRANJA,CÓRDOBA,COLÓN
CENTRO DE SALUD MUNICIPAL DR. NORCELO CARDOZO,RIO CEBALLOS,CÓRDOBA,COLÓN
PUESTO AMUCHASTEGUI LA QUEBRADA,RIO CEBALLOS,CÓRDOBA,COLÓN
PUESTO SANITARIO BARRIO LOZA,RIO CEBALLOS,CÓRDOBA,COLÓN
CENTRO VECINAL SAN FRANCISCO,RIO CEBALLOS,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA VIRGEN DEL ROCIO,RIO CEBALLOS,CÓRDOBA,COLÓN
SERVICIO RENAL PRIVADO SIERRAS CHICAS,RIO CEBALLOS,CÓRDOBA,COLÓN
JAYMA - REHABILITACION RENAL,RIO CEBALLOS,CÓRDOBA,COLÓN
SERVICIO DE INTERNACION DOMICILIARIA SERVINT SALUD,RIO CEBALLOS,CÓRDOBA,COLÓN
C.E.C EMERGENCIAS - RIO CEBALLOS,RIO CEBALLOS,CÓRDOBA,COLÓN
GERIATRICO DESCANSO SAN JAVIER,RIO CEBALLOS,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA EL PORTICO,RIO CEBALLOS,CÓRDOBA,COLÓN
RESIDENCIA GERIATRICA PRIVADA LA MANSION S.A,RIO CEBALLOS,CÓRDOBA,COLÓN
SANATORIO PRIVADO DEL INTERIOR,RIO CEBALLOS,CÓRDOBA,COLÓN
CLINICA PRIVADA DE REPOSO MIRAVET,RIO CEBALLOS,CÓRDOBA,COLÓN
DISPENSARIO MUNICIPAL CENTRAL DE SALDAN,SALDAN,CÓRDOBA,COLÓN
DISPENSARIO MUNICIPAL BARRIO PORTON DE PIEDRA,SALDAN,CÓRDOBA,COLÓN
DISPENSARIO MUNICIPAL BARRIO SAN FRANCISCO,SALDAN,CÓRDOBA,COLÓN
